"";"eRemoved";"nRemoved"
"15358";384900;425800
"15368";386918;422693
"15370";383993;426730
"15371";379443;424311
"15429";380949;423789
"15431";384361;421688
"15441";378102;423421
"15446";353770;423720
"15499";353427;423120
"15501";354600;423300
"15653";355382;420975
"15658";352200;422700
"15659";352900;424400
"15717";352034;424428
"15718";353896;424048
"15719";360300;429900
"15722";353400;422800
"15736";352500;422500
"15738";357400;424600
"15741";357300;425000
"15743";342212;400459
"15744";342354;400493
"15767";343700;400900
"15780";343396;410246
"15783";334900;406020
"15786";346900;407200
"15792";343400;410200
"15810";343098;400679
"15815";343100;410200
"15872";347300;407800
"15930";344530;399790
"15946";343800;400900
"15952";347606;405403
"15965";342772;410649
"15967";347724;405363
"15977";347070;407400
"15983";343200;411300
"16560";342904;410976
"16581";333202;444734
"16593";350353;442153
"16614";333300;446700
"16619";336115;438742
"16623";333400;446730
"16629";350300;446900
"16630";351010;440310
"16638";336125;439100
"16651";353784;443642
"16692";333000;445700
"16751";336192;438731
"16752";337048;447049
"16766";341540;444580
"16767";333030;445730
"16768";342049;443447
"16780";333300;447400
"16782";352500;385400
"16783";350370;384110
"16795";349927;384792
"16797";353088;383029
"16829";349380;384540
"16849";354000;384000
"16851";354020;383620
"16861";348993;383905
"16909";346393;383822
"16913";352355;385454
"16915";353500;385800
"16937";350242;382363
"16971";353426;386015
"17009";349961;384469
"17012";348360;383160
"17018";348960;383806
"17028";353270;385855
"17032";353188;383031
"17036";349910;382262
"17044";350153;384816
"17051";349700;382080
"17063";348956;384678
"17071";349857;384853
"17072";350540;384840
"17112";353271;383334
"17138";350843;384204
"17141";348991;333908
"17143";349651;382052
"17149";342600;398500
"17153";343471;399126
"17166";343239;398738
"17179";345506;390229
"17190";343137;396386
"17211";443522;299674
"17244";345735;389774
"17283";343810;387380
"17286";343228;398639
"17296";342567;398442
"17298";345848;390245
"17325";344830;388910
"17328";343800;398600
"17343";343750;399240
"17381";343041;398595
"17393";343000;396400
"17395";343780;398870
"17617";346341;387565
"17623";343500;398500
"18160";345486;390396
"18170";343550;398800
"18171";343200;399667
"18185";333196;393485
"18205";334785;394182
"18209";334100;393700
"18225";338616;390388
"18226";342391;384641
"18227";333703;393991
"18235";340300;383600
"18251";338564;391567
"18290";342919;383072
"18292";334814;387930
"18299";334363;393896
"18301";334439;393623
"19177";339410;396420
"19180";337458;386006
"19215";339780;396667
"19242";333646;395251
"19283";338360;391550
"19296";340030;383650
"19308";333917;394339
"19316";334357;393466
"19349";338376;391554
"19352";338705;391532
"19360";339685;396572
"19393";340161;383604
"19398";333730;392800
"19404";334024;394106
"19405";343608;384091
"19406";342769;384202
"19411";340266;390972
"19414";333720;394040
"19497";334399;393588
"19501";334270;393290
"19567";333769;392567
"19600";336570;391752
"19609";333708;393780
"19615";345380;390564
"19620";333798;393722
"19668";333810;393720
"19716";334707;396206
"19720";336665;416773
"19724";336714;416852
"19726";336646;401322
"19728";331082;406803
"19764";336300;401800
"19810";336200;415600
"19859";336715;398571
"19861";336300;416700
"19874";336600;398500
"19896";334485;396478
"19903";331100;403990
"19904";333440;395410
"19908";334609;396185
"19909";333340;395010
"19930";330870;405090
"19938";353931;393699
"19939";357250;396550
"19941";351921;395173
"19948";352220;396000
"19968";353456;392534
"19983";357583;397614
"20030";350263;394215
"20043";357553;394979
"20080";351251;394377
"20119";349247;391477
"20152";355700;397700
"20324";355829;395615
"20327";356498;397648
"20335";354133;399101
"20336";352163;394591
"20338";353570;396000
"20341";354887;392817
"20344";354961;392768
"20351";353793;393093
"20356";352652;394312
"20371";353060;394620
"20422";352500;393900
"20431";353489;392996
"20445";331500;389800
"20447";330972;390475
"20463";335482;383685
"20481";329852;390689
"20577";331990;383077
"20610";321900;387800
"20646";332697;388374
"20657";333100;386900
"20678";325733;390710
